"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUL97,0.2062055498,0.3829531639,0.1767476141,0.0294579357,0,0.1767476141,0,36.557298189,1.3845229773,19.47169549,3.0047094402,12.696370282,9.8094925841,1.3550650416,8.4544275425,6.8342410796,3.8884475108,2.9457935688,8.1303902499,0.942653942,0.1178317428,1.9442237554,5.1256808097,61.920580816,186.61602258,110.05484773,108.55249301,1.5023547201,20.56163911,55.999535743,4.5659800316,129.85058051,45.659800316,234.72083156,16.820481278,26.98346909,74.145624127,116.77125707,56.559236521,0,18.205004255,7.747437086,0,30.60679518,12.077753632,1.5612705915,6.4512879157,3.8884475108,0.1767476141,670.05020516,86.90091028,0.2356634855,39.149596529,7.3055680506,4.0062792536,36.203802961,1.0015698134,0.2651214212,0.1178317428,0.0883738071,0.4124110996,0.0589158714,0,0,0.0589158714,2.9163356331,0,10.781604462,3.9473633822,12.784744089,0.4418690353,4.7427276458,0.1767476141,1.325607106,6.0977926874,33.287467327,0,11.842090147,2.5039245335,18.941452647,0,56.706526199,2.5333824692,48.104808979,5.8032133305,0.2651214212,2.4155507264,210.74207191
AUG97,0.1472896784,0.7953642636,0.5302428424,0,0,0.2651214212,0,38.825559237,1.7674761413,19.118200262,3.2698308614,14.670051973,17.409639992,2.1798872409,15.229752751,6.2450823659,3.6233260896,2.6217562762,7.8063529573,1.2666912346,0.3829531639,1.1488594918,5.007849067,71.229288494,176.77707206,105.87182086,103.98651298,1.885307884,19.324405811,51.58084539,4.5070641603,127.1993663,39.591465565,226.11911434,15.583247979,25.716777856,68.784279832,116.03480868,60.506599903,0,13.491734545,18.705789162,0,28.309076196,13.226613124,1.885307884,6.2156244302,4.7132697101,0.4124110996,647.92729546,90.11182527,0.1178317428,42.242679777,6.5396617227,4.624895903,36.586756125,0.6480745851,0.1472896784,0.0589158714,0.0589158714,0.2651214212,0.0883738071,0,0.0294579357,0,4.2714006748,0,10.811062398,4.1241109963,8.7490068993,0.854280135,2.6217562762,0.3829531639,1.2666912346,3.6233260896,41.53568932,0,13.462276609,3.0341673759,25.039245335,0.1178317428,64.277215671,2.8574197617,53.878564373,7.2466521793,0.2945793569,3.0636253116,227.70984287
SEP97,0.2945793569,0.2356634855,0.1472896784,0,0.0294579357,0.0589158714,0,38.089110845,1.3845229773,18.322835998,2.8279618261,15.553790043,14.080893259,2.268261048,11.812632211,5.1551387454,2.4744665978,2.6806721476,7.3350259863,1.0604856848,0.0589158714,1.2077753632,5.007849067,65.190411678,166.02492554,101.21746702,99.685654368,1.5318126558,15.877827336,48.929631178,4.0946530606,120.65970458,39.82712905,210.65369811,13.786313902,25.89352547,67.959457632,103.0144011,55.734414322,0,14.670051973,7.4233997934,0,33.640962556,9.5443711629,1.0899436205,3.7706157681,4.4481482889,0.2356634855,606.53889582,86.517957116,0.3534952283,37.91236323,7.5412315361,4.1241109963,36.586756125,0.2356634855,0.0883738071,0.0294579357,0.0294579357,0.0883738071,0,0,0,0,4.0651951249,0,9.9567822626,4.7721855815,6.3039982372,0.2945793569,2.2977189837,0.1767476141,0.7953642636,2.739588019,38.059652909,0,12.932033767,1.9736816911,23.153937451,0.0589158714,58.091049177,2.4155507264,49.224210535,6.1861664945,0.2651214212,2.4744665978,210.53586636
OCT97,0.1178317428,0.4418690353,0.1767476141,0,0.0589158714,0.2062055498,0,43.008586105,1.6201864628,22.240741444,3.1814570543,15.966201143,16.408070178,1.5023547201,14.905715458,6.3039982372,3.0636253116,3.2403729257,8.4249696068,0.9131960063,0.0883738071,2.0915134338,5.3318863595,74.705324905,178.07322123,109.49514695,107.87496049,1.6201864628,17.409639992,51.16843429,3.1225411829,130.26299161,38.11856878,233.5130562,16.791023342,24.509002492,73.762670963,118.4503594,65.956318005,0,17.262350313,7.4528577291,0,41.241109963,12.372332989,1.6496443985,5.0373070027,5.4497181023,0.2356634855,661.41903,86.370667437,0.0883738071,40.0333346,7.0993625008,4.3008586105,34.848737919,0.854280135,0.1767476141,0.0294579357,0.1472896784,0.471326971,0.0294579357,0,0,0,4.153568932,0.0294579357,11.812632211,4.0357371893,8.6311751566,0.6186166494,3.3287467327,0.1178317428,1.413980913,3.1519991186,42.124848034,0,14.994089265,1.7380182056,25.392740563,0,62.686487144,2.9752515045,52.081630296,7.1877363079,0.4418690353,2.268261048,222.96711522
NOV97,0.1178317428,0.3829531639,0.3534952283,0,0,0.0294579357,0,44.95280986,1.796934077,22.093451766,3.5644102183,17.498013799,13.079323445,1.885307884,11.194015561,5.9210450733,3.2992887971,2.6217562762,8.6311751566,1.0899436205,0.2062055498,1.6791023342,5.6559236521,73.085138442,170.9444008,105.81290499,104.10434472,1.7085602699,15.553790043,49.577705763,4.3008586105,119.12789192,37.470494195,223.49735807,16.025117014,26.247020698,66.250897362,114.97432299,43.597744818,0,10.545940976,7.6885212146,0,25.363282627,12.195585375,1.6496443985,4.4481482889,5.8915871376,0.2062055498,611.13433378,90.612610176,0.3534952283,42.655090876,6.893156951,4.5070641603,36.203802961,1.4728967844,0.2651214212,0.0883738071,0.1472896784,0.8248221993,0.0294579357,0,0,0.1178317428,5.007849067,0,11.724258404,4.536522096,8.8373807064,0.5007849067,3.1814570543,0.0883738071,1.5612705915,3.5054943469,46.749743937,0,16.231322564,2.6806721476,27.837749225,0.0294579357,68.195121118,2.5039245335,57.325142849,8.0420164428,0.3240372926,3.0636253116,240.22946554
DEC97,0.2062055498,0.8248221993,0.4418690353,0.0589158714,0.0294579357,0.2945793569,0,46.190043159,1.885307884,22.977189837,3.5644102183,17.76313522,17.232892377,2.4155507264,14.817341651,5.2435125525,2.6806721476,2.5628404049,8.4249696068,1.0310277491,0.2651214212,1.2961491703,5.8326712662,78.122445445,181.843837,116.2999301,114.17895873,2.1209713695,18.17554632,47.368360586,4.3892324175,123.34037673,45.129557474,231.0385896,17.35072412,26.040815148,71.258746429,116.3883039,68.077289375,0,13.992519452,7.9241847001,0,46.160585223,11.989379825,1.5612705915,5.0373070027,5.007849067,0.3829531639,665.80826242,87.755190415,0.2356634855,39.296886208,7.364483922,7.1582783722,33.699878427,2.0325975625,0.0589158714,0.0294579357,0.0883738071,1.796934077,0,0.0294579357,0,0.0294579357,5.8915871376,0.0294579357,14.198725002,4.8311014528,9.1319600633,0.8837380706,3.7411578324,0.1472896784,1.1783174275,3.1814570543,48.546678014,0,17.026686828,2.6806721476,28.839319039,0.5302428424,66.13306562,2.7690459547,55.439834965,7.6590632789,0.2651214212,2.1504293052,241.23103535
JAN98,0.0870139005,0.4350695024,0.2320370679,0.0290046335,0.058009267,0.116018534,0,43.593964136,2.0593289778,21.840489018,3.1905096839,16.503636456,18.243914465,1.7982872764,16.445627189,4.8727784264,2.6104170141,2.2623614122,7.5412047075,0.7251158373,0.3190509684,1.363217774,5.1338201278,74.773945138,198.97178574,126.95328079,124.42987767,2.5234031136,19.056044203,52.962460753,4.5247228245,132.14511018,44.986186543,232.99422083,17.750835696,22.652618756,78.138482623,114.45228375,68.537948937,0,16.213590121,13.081089704,0,39.243269112,12.239955333,2.0013197108,5.5688896301,4.3506950235,0.3190509684,694.39993039,82.489177646,0.2900463349,36.255791863,5.9459498655,4.379699657,35.617689926,0.4350695024,0.0870139005,0,0.058009267,0.2320370679,0.0290046335,0,0,0.0290046335,5.4238664627,0.1740278009,14.87937698,5.8299313315,8.6143761466,0.5800926698,3.3355328514,0.0870139005,0.9571529052,3.6545838198,50.961141042,0,17.489793995,3.0454865165,30.425860531,0.0290046335,67.551791399,2.5814123806,56.704058473,7.8602556758,0.4060648689,3.016481883,239.40424483
FEB98,0.3190509684,0.3480556019,0.2610417014,0,0.0290046335,0.058009267,0,38.80819961,1.8272919099,19.984192475,2.2623614122,14.734353813,12.87805727,1.9143058104,10.963751459,4.6987506254,2.5524077471,2.1463428783,7.5412047075,1.421227041,0.1740278009,1.1891899731,4.7567598924,64.593318783,178.52351913,111.3777926,109.17344046,2.2043521453,16.764678157,50.381048372,3.5965745528,114.19124205,37.444981836,215.64945,19.056044203,22.420581688,67.609800666,106.56302344,63.520147344,0,14.328288944,6.4970379018,0,42.694820498,10.238635622,1.7982872764,4.2636811231,3.9446301547,0.2320370679,623.16455054,78.370519691,0.116018534,34.631532387,6.2359962004,4.0316440551,33.355328514,1.2181946066,0.4930787693,0.0870139005,0.0870139005,0.2030324344,0,0.3190509684,0,0.0290046335,4.1186579556,0.0870139005,11.659862663,6.1199776664,7.6572232414,0.5800926698,2.6974309146,0.0870139005,1.363217774,2.9294679825,39.794357149,0,14.386298211,2.2333567787,23.174702159,0.0870139005,59.633526456,2.1463428783,50.642090074,6.5260425353,0.3190509684,1.7112733759,210.4576206
MAR98,0.0870139005,0.5800926698,0.3480556019,0,0.058009267,0.1740278009,0,45.740307014,2.0303243443,23.290720693,2.842454082,17.576807895,13.893219442,2.3203706792,11.572848763,5.7139127976,2.900463349,2.8134494485,8.9624317485,1.0151621722,0.1740278009,2.0303243443,5.7429174311,74.976977572,189.98034936,114.19124205,112.10290844,2.0883336113,18.475951533,57.313155777,4.0316440551,122.95064136,36.081764062,235.45961467,18.301923732,23.870813362,74.715935871,118.57094171,67.116721896,0,11.427825595,9.9195846536,0,45.769311648,11.398820962,1.7982872764,5.3948618292,3.9446301547,0.2610417014,667.01955637,85.331631728,0.2610417014,39.765352515,6.7870842367,5.1628247613,33.355328514,1.3922224075,0,0,0.0290046335,1.2471992401,0.116018534,0,0,0,4.1766672226,2.0303243443,12.820048003,4.7567598924,8.2953251782,0.5800926698,2.958472616,0.1450231675,1.1021760726,3.5095606523,40.548477619,0,16.445627189,2.2623614122,21.840489018,0.4060648689,64.361281715,2.0013197108,54.470701695,7.3091676395,0.5800926698,2.5524077471,226.67121073
APR98,0.1450231675,0.8411343712,0.7251158373,0,0.0290046335,0.0870139005,0,38.315120841,1.363217774,19.201067371,2.5814123806,15.169423315,12.907061903,1.537245575,11.369816328,6.032963766,2.9874772495,3.0454865165,9.4845151513,1.3342131405,0.1740278009,1.8853011769,6.0909730329,67.7258192,188.41409915,112.85702891,110.7686953,2.0883336113,18.388937633,57.168132609,3.0454865165,120.10818728,35.704703826,214.48926466,17.489793995,23.261716059,69.698134277,104.03962033,71.728458621,0,11.427825595,13.168103605,0,47.132529422,11.543844129,1.3342131405,5.6849081641,4.2636811231,0.2610417014,645.03404419,68.769986005,0.4640741358,32.108129274,4.0896533221,4.9017830598,27.206346214,1.2181946066,0.2320370679,0,0.4350695024,0.4930787693,0.0290046335,0.0290046335,0,0,3.1615050504,0.0290046335,11.224793161,7.8312510424,8.0632881103,0.6381019368,2.9294679825,0.058009267,1.8272919099,2.6104170141,44.203061439,0.5220834028,20.535280511,2.6684262811,20.477271244,0.0290046335,53.68757659,2.0593289778,45.102205077,6.2069915669,0.3190509684,2.3783799462,200.59604522
MAY98,0.1740278009,0.3480556019,0.2900463349,0,0,0.058009267,0,36.31380113,1.7112733759,18.388937633,1.6242594755,14.589330646,11.572848763,1.7402780094,9.8325707532,6.0619683995,3.2775235844,2.7844448151,7.8312510424,0.7541204707,0.0290046335,1.3922224075,5.6559035306,62.301952737,184.44046436,106.73705124,104.90975933,1.8272919099,20.187224909,57.516188211,3.7125930867,126.77925299,40.05539885,232.38512352,16.097571587,27.061323046,76.862278749,112.36395014,79.704732831,0,11.862895097,11.862895097,0,55.978942636,12.530001668,1.8272919099,5.5978942636,4.7857645259,0.3190509684,679.60756731,80.400844035,0.2030324344,38.489148641,4.32169039,6.2940054674,31.092967101,0.6961112038,0,0,0,0.6671065703,0.0290046335,0,0,0,3.1325004169,0,10.905742192,4.2056718561,9.3394919838,0.4640741358,3.07449115,0.116018534,2.1753475118,3.5095606523,42.027713927,0.5220834028,17.170743026,3.2195143174,21.115373181,0.116018534,72.221537391,3.5385652858,59.894568157,8.3823390787,0.4060648689,2.8134494485,225.85908099
JUN98,0.1740278009,0.5220834028,0.2900463349,0,0.0290046335,0.2030324344,0,35.675699193,1.3342131405,17.431784728,2.1173382448,14.79236308,10.499677323,1.363217774,9.1364595494,6.2359962004,3.0454865165,3.1905096839,7.1931491056,0.6090973033,0.116018534,1.3342131405,5.1338201278,60.300633026,176.26115772,99.833948473,98.325707532,1.5082409415,22.362572421,54.064636826,4.0896533221,122.8926321,34.892574089,230.23878065,15.749515985,28.163499119,76.137162912,110.18860263,65.492462421,0,12.559006301,10.760719025,0,42.172737095,14.415302845,2.0303243443,6.7580796032,5.1918293947,0.4350695024,648.28256314,79.53070503,0.4060648689,37.009912333,4.8437737929,4.4667135575,32.804240477,0.9281482717,0.0290046335,0,0,0.6961112038,0.1740278009,0.0290046335,0,0,3.07449115,0.0290046335,9.3975012508,4.4087042905,9.9775939206,0.3770602354,3.3935421184,0.1450231675,2.6104170141,3.4515513853,40.113408117,0.4640741358,15.633497451,2.7554401816,21.260396348,0.2030324344,58.850401352,2.0303243443,49.423895467,7.0191213046,0.3770602354,2.8134494485,209.3264399
